,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
0,Aaron Ramsdale,ENG,Southampton,GK,26,27,27,2430.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.30,67.1,7.4,28.6,,0.0,,,715,64.6,20052,99.5,96.2,38.6,0,33,1,0,3,0.11,0,0.0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,,,723,2159,0,0,3,0,646,1,4,0,0,20,5,0,100.0,€18.7M,67.3/71.5
1,Aaron Wan-Bissaka,ENG,West Ham,DF,27,33,32,2884.0,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,N/a,N/a,N/a,N/a,31.3,0.16,0.13,15.1,1321,80.5,18817,89.9,81.1,46.0,30,89,32,11,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,59,13,31,21,1174,22,25,4,70,163,22,30,42.3,€26.9M,74.4/75.0
2,Abdoulaye Doucouré,MLI,Everton,MF,32,30,29,2425.0,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.1,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,24,8,33,35,705,46,5,10,23,139,29,43,40.3,€5.8M,69.1/69.1
3,Adam Smith,ENG,Bournemouth,DF,34,22,17,1409.0,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,15,0,10,6,333,15,11,0,30,43,12,13,48.0,€1.5M,68.5/68.7
4,Adam Wharton,ENG,Crystal Palace,MF,20,20,16,1318.0,0,2,2,0,0.4,3.0,14,107,11,0.0,0.14,0.03,0.21,N/a,N/a,N/a,N/a,38.5,0.34,0.0,25.4,548,75.6,10271,82.5,80.1,65.4,26,78,18,5,59,4.03,6,0.41,34,14,44,27,11,2,9,20,871,30,204,462,212,11,10,20.0,80.0,430,1078,23,2,17,13,533,12,21,0,39,102,7,16,30.4,€48.9M,68.1/81.3
5,Adama Traoré,ESP,Fulham,"FW,MF",29,33,16,1592.0,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,29.7,0.62,0.05,14.3,386,72.0,6023,81.4,73.4,55.1,38,32,33,18,76,4.3,9,0.51,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,50.5,37.6,490,2268,42,33,34,21,556,20,29,1,92,78,24,26,48.0,€8M,68.7/68.7
6,Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20,34,23,2146.0,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.3,0.19,N/a,N/a,N/a,N/a,34.9,1.22,0.07,17.2,635,79.1,8921,88.6,82.9,60.0,35,21,24,4,81,3.4,6,0.25,29,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,3176,72,66,63,48,864,12,41,10,52,108,3,23,11.5,€60.7M,70.9/87.1
7,Alex Iwobi,NGA,Fulham,"FW,MF",29,35,33,2796.0,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,N/a,N/a,N/a,N/a,44.4,0.9,0.14,18.2,1057,74.4,18132,85.8,77.7,53.8,56,107,78,17,115,3.7,16,0.52,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,49.4,44.8,1218,4098,102,37,55,38,1345,17,17,5,120,126,6,31,16.2,€30.3M,76.3/76.3
8,Alex Palmer,ENG,Ipswich Town,GK,28,11,11,990.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.45,58.7,0.0,0.0,,0.0,,,241,67.7,7340,95.8,100.0,43.8,1,7,0,0,2,0.18,0,0.0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,,,180,604,0,0,1,0,132,1,2,0,0,15,4,0,100.0,€1.6M,64.4/67.5
9,Alexander Isak,SWE,Newcastle Utd,FW,25,32,32,2577.0,23,6,1,0,19.9,4.3,81,80,200,0.8,0.21,0.69,0.15,N/a,N/a,N/a,N/a,42.0,1.29,0.22,14.6,479,74.5,6849,83.8,77.4,63.2,41,33,26,1,89,3.11,14,0.49,12,5,13,8,18,2,16,3,960,20,55,361,558,178,88,47.7,50.0,574,1782,41,43,62,52,681,25,13,20,15,55,26,52,33.3,€120.3M,82.0/84.9
10,Alexis Mac Allister,ARG,Liverpool,MF,26,34,30,2575.0,5,5,6,0,2.8,4.6,34,174,79,0.17,0.17,0.1,0.16,N/a,N/a,N/a,N/a,34.2,0.45,0.13,18.1,1260,83.5,20147,90.2,88.4,55.7,44,121,34,2,119,4.16,15,0.52,95,58,104,49,61,6,55,22,1845,55,280,956,630,60,42,38.1,50.0,906,1961,42,5,31,22,1217,61,40,2,85,146,19,34,35.8,€106.1M,85.5/88.9
11,Alisson,BRA,Liverpool,GK,32,25,25,2238.0,0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.02,0.92,71.4,36.0,0.0,,0.0,,,681,83.6,14999,99.0,98.6,48.1,1,11,0,0,6,0.24,1,0.04,1,0,1,1,0,0,0,0,860,622,844,16,0,0,1,100.0,0.0,550,1284,0,0,1,0,525,0,2,0,0,42,6,0,100.0,€24.1M,78.0/78.0
12,Amad Diallo,CIV,Manchester Utd,"FW,MF",22,23,17,1639.0,7,6,3,0,4.2,4.0,93,55,163,0.38,0.33,0.23,0.22,N/a,N/a,N/a,N/a,32.6,0.77,0.16,18.0,676,82.9,9329,90.5,85.3,53.1,40,25,30,5,83,4.56,17,0.93,35,28,28,11,11,0,11,11,1042,13,154,381,523,112,77,49.4,45.5,678,2355,48,54,36,32,731,19,24,9,38,99,9,15,37.5,€48.5M,69.4/76.9
13,Amadou Onana,BEL,Aston Villa,MF,23,23,17,1378.0,3,0,4,0,2.1,0.3,21,60,14,0.2,0.0,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.39,0.18,14.7,607,88.5,9552,94.3,89.8,73.0,8,56,9,1,27,1.76,4,0.26,47,24,26,12,14,6,8,24,858,62,233,506,133,21,17,64.7,17.6,468,1293,20,1,10,9,579,30,24,0,1,66,27,18,60.0,€62.1M,68.7/76.0
14,Andreas Pereira,BRA,Fulham,MF,29,31,23,1879.0,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,N/a,N/a,N/a,N/a,22.9,0.38,0.06,22.1,641,68.9,11658,83.6,78.3,41.0,56,64,19,4,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,35,8,26,21,648,27,23,1,168,97,12,21,36.4,€19M,75.7/75.7
15,Andrew Robertson,SCO,Liverpool,DF,31,31,27,2308.0,0,0,3,1,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,N/a,N/a,N/a,N/a,15.4,0.08,0.0,14.5,1456,83.0,24521,94.1,86.8,46.8,38,144,28,16,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,48,6,25,11,1302,11,8,2,136,91,6,12,33.3,€24M,80.2/80.6
16,André,BRA,Wolves,MF,23,30,28,2249.0,0,0,7,0,0.4,0.7,8,95,11,0.0,0.0,0.02,0.03,N/a,N/a,N/a,N/a,11.1,0.04,0.0,25.3,1111,92.8,17503,95.3,95.4,80.0,15,101,4,0,45,1.8,3,0.12,80,48,57,25,41,8,33,32,1451,83,395,939,132,3,27,48.1,37.0,795,1440,14,0,27,17,973,34,32,0,0,176,2,6,25.0,€29.8M,71.5/79.3
17,André Onana,CMR,Manchester Utd,GK,29,33,33,2970.0,0,0,0,0,0.0,0.2,0,1,0,0.0,0.0,0.0,0.01,1.30,69.0,27.3,25.0,,0.0,,,920,73.1,21868,99.1,99.0,36.3,1,24,0,0,4,0.12,0,0.0,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,,,932,2615,0,0,1,0,810,0,2,0,0,33,6,0,100.0,€34.2M,73.5/76.9
18,Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23,35,28,2232.0,6,9,1,0,4.2,4.8,87,54,190,0.24,0.36,0.17,0.19,N/a,N/a,N/a,N/a,52.5,0.85,0.15,17.3,479,65.2,6909,82.8,64.1,33.0,44,29,24,7,89,3.59,14,0.57,18,13,17,12,11,1,10,6,1000,29,133,290,594,98,76,30.3,46.1,527,2268,42,42,70,39,672,8,36,15,156,84,24,34,41.4,€45.5M,75.0/82.6
19,Anthony Gordon,ENG,Newcastle Utd,FW,24,31,25,2235.0,6,5,2,0,8.0,4.9,111,93,197,0.24,0.2,0.32,0.2,N/a,N/a,N/a,N/a,28.6,0.64,0.09,16.8,671,73.3,10367,85.9,78.2,43.2,50,61,52,17,99,3.99,12,0.48,31,17,34,22,24,2,22,6,1178,16,115,444,638,123,96,36.5,46.9,758,3042,56,55,28,35,851,19,65,8,122,92,6,7,46.2,€49.5M,80.7/86.9
20,Antoine Semenyo,GHA,Bournemouth,FW,25,34,33,2933.0,9,5,9,0,9.3,5.8,133,106,259,0.28,0.15,0.29,0.18,N/a,N/a,N/a,N/a,31.4,1.14,0.08,17.2,737,73.2,10554,84.7,76.5,38.6,45,48,44,8,123,3.77,13,0.4,53,34,42,26,59,8,51,10,1503,44,187,526,824,176,125,51.2,41.6,904,3409,65,65,79,72,1041,66,36,14,52,150,61,72,45.9,€47.7M,74.1/79.3
21,Antonee Robinson,USA,Fulham,DF,27,34,33,2989.0,0,10,8,0,0.7,4.1,114,123,265,0.0,0.3,0.02,0.12,N/a,N/a,N/a,N/a,12.5,0.06,0.0,22.1,1523,76.6,26058,86.7,79.0,56.4,42,113,54,28,77,2.32,11,0.33,90,57,89,45,37,7,30,57,2404,128,765,911,763,67,78,43.6,42.3,1278,4057,60,29,41,18,1440,31,17,6,165,148,45,25,64.3,€46.4M,77.9/78.7
22,Archie Gray,ENG,Tottenham,"DF,MF",19,25,16,1481.0,0,0,0,0,0.0,0.1,6,34,15,0.0,0.0,0.0,0.01,N/a,N/a,N/a,N/a,100.0,0.06,0.0,24.6,939,88.2,16414,92.3,92.7,59.1,2,39,0,0,5,0.3,0,0.0,13,7,17,10,19,10,9,13,1179,139,564,537,88,2,11,54.5,36.4,816,1551,5,0,9,10,881,9,11,0,13,59,10,9,52.6,€58.2M,71.0/89.0
23,Ashley Young,ENG,Everton,"DF,FW",39,29,17,1622.0,1,3,6,1,0.3,1.6,20,83,27,0.06,0.17,0.01,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,610,69.9,11228,88.0,76.0,40.3,19,72,18,9,38,2.11,6,0.33,51,29,51,19,10,3,7,23,1043,52,316,452,280,9,15,33.3,46.7,415,1214,24,1,8,1,535,25,18,0,66,61,10,11,47.6,€1.3M,72.5/72.5
24,Axel Tuanzebe,COD,Ipswich Town,DF,27,19,17,1446.0,0,1,5,1,0.2,0.3,9,46,8,0.0,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,15.7,538,83.0,8269,91.1,81.8,56.1,4,50,3,0,11,0.68,2,0.12,29,17,24,8,18,9,9,21,793,89,343,348,108,6,10,40.0,60.0,339,727,6,1,11,1,410,13,11,0,6,43,16,16,50.0,€4.2M,62.4/63.0
25,Bart Verbruggen,NED,Brighton,GK,22,33,33,2970.0,0,1,5,0,0.0,0.0,0,2,0,0.0,0.03,0.0,0.0,1.67,64.7,18.2,0.0,,0.0,,,938,76.9,22231,99.3,98.2,45.9,1,18,1,0,5,0.15,1,0.03,0,0,3,3,1,0,1,0,1304,1034,1291,13,0,0,2,100.0,0.0,879,1673,1,1,2,0,836,0,2,0,0,58,10,1,90.9,€30.7M,72.3/84.4
26,Ben Davies,WAL,Tottenham,DF,32,14,12,1126.0,0,0,4,0,0.3,0.2,14,50,6,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,20.0,0.08,0.0,17.0,797,88.0,14950,90.8,94.3,63.1,2,43,2,0,8,0.64,0,0.0,14,10,14,7,24,16,8,12,1045,178,549,451,45,12,1,100.0,0.0,588,1701,10,0,4,0,699,14,6,0,4,36,47,38,55.3,€5.6M,66.4/66.4
27,Ben Johnson,ENG,Ipswich Town,"DF,FW",25,22,14,1348.0,1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.2,0.14,12.6,296,71.5,4812,86.2,74.8,49.0,12,21,3,2,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,585,12,3,23,17,290,27,6,1,37,57,19,18,51.4,€12.6M,66.6/70.6
28,Ben White,ENG,Arsenal,DF,27,14,10,941.0,0,1,2,0,0.4,0.8,11,44,28,0.0,0.1,0.04,0.08,N/a,N/a,N/a,N/a,14.3,0.1,0.0,19.1,449,83.6,7272,92.4,84.6,48.9,7,39,8,1,16,1.53,1,0.1,13,9,28,17,9,7,2,15,633,46,183,289,165,20,4,0.0,75.0,292,622,11,3,8,4,375,8,4,1,10,26,15,5,75.0,€58.8M,83.1/84.9
29,Bernardo Silva,POR,Manchester City,"MF,FW",30,30,26,2401.0,3,4,7,0,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,N/a,N/a,N/a,N/a,35.7,0.37,0.11,12.9,1370,87.1,20876,92.2,88.4,66.7,47,75,33,7,83,3.11,8,0.3,52,34,52,28,33,7,26,20,1816,48,318,739,777,131,59,45.8,42.4,1137,3650,60,31,21,32,1346,26,29,3,54,93,5,10,33.3,€50M,86.7/87.8
30,Bernd Leno,GER,Fulham,GK,33,35,35,3150.0,0,1,4,0,0.0,0.1,0,0,0,0.0,0.03,0.0,0.0,1.34,68.3,14.3,0.0,,0.0,,,1060,81.5,25878,99.5,98.9,47.5,2,16,2,0,5,0.14,2,0.06,2,2,2,0,1,0,1,0,1364,1097,1354,10,0,0,0,,,892,2023,0,0,0,0,799,0,3,0,0,48,9,0,100.0,€13.7M,74.0/74.0
31,Beto,GNB,Everton,FW,27,27,12,1268.0,7,0,2,0,6.6,0.8,12,10,66,0.5,0.0,0.47,0.06,N/a,N/a,N/a,N/a,50.0,1.42,0.18,13.2,124,57.1,1676,67.9,50.0,87.5,8,5,4,1,17,1.21,0,0.0,14,6,8,3,8,1,7,3,429,22,43,188,204,72,32,53.1,43.8,221,390,9,9,59,33,309,30,18,14,3,30,78,92,45.9,€24.4M,66.7/66.7
32,Bilal El Khannouss,MAR,Leicester City,MF,20,30,25,2003.0,2,3,4,0,1.1,4.1,71,119,83,0.09,0.13,0.05,0.18,N/a,N/a,N/a,N/a,21.4,0.27,0.07,22.3,735,75.2,13072,86.1,80.6,57.0,36,83,28,6,66,2.97,5,0.22,46,26,28,13,21,4,17,6,1172,17,166,602,416,33,53,56.6,37.7,679,1949,42,12,36,36,788,28,11,1,83,84,19,20,48.7,€40.6M,64.6/79.6
33,Boubacar Kamara,FRA,Aston Villa,MF,25,23,17,1463.0,0,0,2,0,0.4,0.9,16,74,7,0.0,0.0,0.02,0.05,N/a,N/a,N/a,N/a,14.3,0.06,0.0,21.1,738,89.2,11638,93.4,91.8,54.4,10,82,8,0,24,1.48,2,0.12,49,20,54,26,17,7,10,17,991,92,308,572,118,8,24,33.3,33.3,517,1121,11,1,10,15,673,25,28,0,1,73,17,23,42.5,€46.3M,78.9/82.6
34,Boubakary Soumaré,FRA,Leicester City,MF,26,28,23,1960.0,0,0,8,0,0.3,0.4,31,95,21,0.0,0.0,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.4,985,86.7,14936,92.0,87.6,69.1,11,90,13,2,34,1.56,3,0.14,33,18,30,12,20,8,12,24,1324,64,352,835,150,17,44,61.4,29.5,788,1881,16,3,20,21,929,21,21,0,8,130,20,9,69.0,€15.4M,69.0/74.1
35,Brennan Johnson,WAL,Tottenham,FW,23,31,23,2083.0,11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.1,N/a,N/a,N/a,N/a,37.7,0.86,0.21,11.4,438,71.0,5790,80.5,75.7,34.4,19,25,35,6,46,1.99,7,0.3,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50.0,527,1410,21,32,25,16,609,26,25,12,52,60,7,20,25.9,€71.3M,76.4/84.3
36,Bruno Fernandes,POR,Manchester Utd,MF,30,33,32,2758.0,8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,N/a,N/a,N/a,N/a,30.1,0.82,0.06,21.9,1522,75.2,26743,86.7,80.4,52.6,84,176,73,11,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,60,11,38,37,1665,26,37,2,172,192,21,28,42.9,€54.8M,79.8/79.9
37,Bruno Guimarães,BRA,Newcastle Utd,MF,27,35,35,3002.0,4,6,6,0,3.9,5.8,54,247,81,0.12,0.18,0.12,0.17,N/a,N/a,N/a,N/a,25.6,0.3,0.1,16.3,1334,82.1,22040,90.6,87.5,56.8,47,162,70,6,121,3.63,17,0.51,75,43,64,33,34,9,25,27,2013,75,409,1035,592,74,75,45.3,32.0,1298,3108,40,12,53,73,1507,57,100,2,25,167,18,17,51.4,€83.2M,80.9/82.6
38,Bryan Mbeumo,CMR,Brentford,FW,25,35,35,3144.0,18,6,3,0,10.8,8.0,118,128,319,0.52,0.17,0.31,0.23,N/a,N/a,N/a,N/a,42.3,0.86,0.18,17.7,809,66.6,12856,79.0,72.1,37.0,66,55,55,16,134,3.84,18,0.52,45,29,31,13,24,3,21,14,1633,54,232,517,913,149,99,46.5,41.4,984,3237,64,68,99,40,1109,23,43,11,182,143,34,69,33.0,€57.2M,81.2/85.9
39,Bukayo Saka,ENG,Arsenal,"FW,MF",23,22,18,1539.0,6,10,3,0,6.3,6.8,82,62,233,0.35,0.58,0.37,0.4,N/a,N/a,N/a,N/a,34.5,1.17,0.09,15.5,488,75.2,7524,90.1,73.1,47.7,50,13,32,10,102,5.97,22,1.29,24,13,22,11,21,0,21,3,875,6,52,192,639,146,84,44.0,41.7,558,2133,28,45,29,38,635,14,38,5,110,65,8,19,29.6,€101.3M,87.2/96.9
40,Caleb Okoli,ITA,Leicester City,DF,23,18,12,1124.0,1,0,4,0,0.6,0.0,3,32,2,0.08,0.0,0.05,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,4,0.32,0,0.0,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,,,467,1106,6,0,10,2,483,16,9,0,1,44,23,21,52.3,€16.7M,64.3/73.0
41,Callum Hudson-Odoi,ENG,Nott'ham Forest,"FW,MF",24,29,25,2152.0,5,2,2,0,2.5,2.7,127,66,186,0.21,0.08,0.1,0.11,N/a,N/a,N/a,N/a,45.9,0.71,0.14,18.3,674,82.2,9918,92.1,81.8,51.2,44,36,31,11,94,3.93,11,0.46,20,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,58.1,29.0,626,3335,61,45,44,23,764,12,22,8,75,91,3,10,23.1,€30.2M,81.4/86.4
42,Calvin Bassey,NGA,Fulham,DF,25,33,32,2894.0,1,0,7,0,1.0,0.1,36,107,15,0.03,0.0,0.03,0.0,N/a,N/a,N/a,N/a,28.6,0.12,0.07,15.3,1822,89.8,32168,95.1,94.0,61.5,3,143,2,0,23,0.72,3,0.09,52,33,30,9,37,17,20,18,2317,308,1127,1090,124,19,31,45.2,32.3,1487,4539,18,5,32,8,1620,26,31,2,7,156,40,31,56.3,€29.9M,73.3/79.3
