,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
43,Cameron Archer,ENG,Southampton,FW,23,32,13,1373.0,2,0,0,0,5.1,0.4,19,14,64,0.13,0.0,0.33,0.02,N/a,N/a,N/a,N/a,33.3,0.59,0.07,13.1,189,81.1,2474,85.6,91.4,55.6,3,6,7,0,17,1.12,0,0.0,11,7,9,7,5,1,4,2,362,16,59,161,145,50,32,43.8,53.1,210,499,9,14,34,25,256,16,12,7,3,34,8,28,22.2,€18.6M,66.2/73.8
44,Cameron Burgess,AUS,Ipswich Town,DF,29,17,15,1451.0,0,2,0,0,0.7,0.5,2,41,4,0.0,0.12,0.04,0.03,N/a,N/a,N/a,N/a,11.1,0.06,0.0,9.7,590,80.9,10830,90.9,87.0,50.8,7,45,4,0,13,0.81,3,0.19,15,10,9,2,18,13,5,14,919,221,562,312,47,23,0,,,416,990,4,0,3,0,539,5,4,1,0,40,43,22,66.2,€1.7M,61.7/62.8
45,Carlos Baleba,CMR,Brighton,MF,21,31,28,2403.0,3,1,8,1,3.0,1.3,40,111,27,0.11,0.04,0.11,0.05,N/a,N/a,N/a,N/a,26.8,0.41,0.07,25.3,1048,87.2,17638,92.6,91.7,62.3,20,103,22,2,60,2.25,4,0.15,71,41,72,28,44,10,34,40,1556,88,375,917,303,12,52,59.6,34.6,886,2588,40,3,37,37,944,38,44,0,8,176,38,24,61.3,€52.4M,73.7/87.5
46,Carlos Soler,ESP,West Ham,"MF,FW",28,29,14,1358.0,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,N/a,N/a,N/a,N/a,29.2,0.46,0.04,19.1,536,85.1,8360,94.4,85.6,53.7,14,41,11,0,47,3.12,2,0.13,15,11,23,16,19,6,13,8,748,26,173,391,189,23,18,44.4,50.0,341,714,16,4,12,14,506,24,18,0,31,64,9,11,45.0,€23.4M,71.4/71.6
47,Casemiro,BRA,Manchester Utd,MF,33,22,16,1335.0,1,0,3,0,1.7,2.3,4,70,26,0.07,0.0,0.11,0.15,N/a,N/a,N/a,N/a,28.6,0.54,0.04,18.8,670,78.5,11089,86.4,83.7,59.8,20,68,20,6,49,3.31,3,0.2,77,46,66,25,33,10,23,12,1091,69,327,555,217,38,6,50.0,50.0,575,823,10,0,10,10,697,17,18,3,19,89,31,17,64.6,€11.6M,72.4/72.4
48,Chris Richards,USA,Crystal Palace,DF,25,21,19,1652.0,1,0,4,1,1.3,0.1,5,35,1,0.05,0.0,0.07,0.01,N/a,N/a,N/a,N/a,45.5,0.27,0.09,11.4,609,80.2,10779,88.3,89.6,44.9,2,22,1,1,7,0.38,2,0.11,44,28,38,15,36,13,23,15,985,113,527,397,67,18,6,16.7,83.3,453,916,5,0,5,5,547,11,4,1,3,49,38,38,50.0,€15.7M,71.1/75.3
49,Chris Wood,NZL,Nott'ham Forest,FW,33,33,32,2689.0,19,3,1,0,11.7,2.5,13,36,87,0.64,0.1,0.39,0.08,N/a,N/a,N/a,N/a,54.5,1.0,0.29,14.1,290,65.9,4048,69.8,67.2,72.7,19,16,9,1,40,1.34,5,0.17,5,4,9,7,11,7,4,5,698,36,84,334,282,89,12,33.3,58.3,339,444,10,5,73,24,512,24,21,26,1,44,88,129,40.6,€7.8M,73.1/73.1
50,Christian Eriksen,DEN,Manchester Utd,MF,33,21,11,1028.0,0,2,4,0,0.4,2.9,12,53,29,0.0,0.18,0.03,0.25,N/a,N/a,N/a,N/a,9.1,0.09,0.0,24.9,569,79.1,9538,92.1,80.7,47.6,27,53,11,4,51,4.46,7,0.61,19,9,26,15,14,4,10,7,811,24,163,388,264,15,3,0.0,100.0,450,761,13,1,11,5,541,8,3,0,78,59,2,6,25.0,€4.2M,66.9/66.9
51,Christian Nørgaard,DEN,Brentford,MF,31,31,31,2549.0,5,3,6,1,3.9,1.0,12,133,37,0.18,0.11,0.14,0.04,N/a,N/a,N/a,N/a,34.3,0.42,0.14,14.3,1049,81.3,17392,87.0,85.1,58.6,17,128,24,4,49,1.73,10,0.35,75,45,71,27,51,19,32,45,1638,161,561,780,312,52,13,46.2,38.5,738,1204,12,4,31,18,974,41,28,1,15,179,44,29,60.3,€14.4M,73.7/73.7
52,Christopher Nkunku,FRA,Chelsea,FW,27,27,9,921.0,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,N/a,N/a,N/a,N/a,44.0,1.07,0.12,12.6,299,89.5,3928,91.6,92.2,100.0,14,26,7,0,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,628,16,13,18,17,356,16,11,3,4,29,16,22,42.1,€51.7M,79.1/81.0
53,Cody Gakpo,NED,Liverpool,FW,26,32,20,1717.0,9,3,5,0,6.5,3.5,51,52,253,0.47,0.16,0.34,0.18,N/a,N/a,N/a,N/a,41.2,1.1,0.18,15.2,439,75.8,6279,86.6,66.5,54.8,33,22,27,8,71,3.72,7,0.37,26,14,23,12,19,2,17,11,795,21,75,230,506,90,51,56.9,29.4,540,1974,32,20,38,20,606,17,25,5,68,66,15,24,38.5,€67.5M,86.3/89.3
54,Cole Palmer,ENG,Chelsea,MF,23,34,33,2921.0,15,8,6,0,17.0,10.0,110,200,169,0.46,0.25,0.52,0.31,N/a,N/a,N/a,N/a,35.7,1.26,0.1,20.2,1044,76.9,19884,85.9,84.8,59.9,82,153,61,17,190,5.86,15,0.46,27,17,23,14,14,1,13,11,1694,20,140,759,817,133,107,46.7,38.3,1074,3497,67,39,63,34,1248,13,57,6,134,100,1,7,12.5,€115.4M,80.1/92.5
55,Conor Coady,ENG,Leicester City,DF,32,19,16,1444.0,0,0,2,0,0.1,0.1,3,30,0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,100.0,0.06,0.0,9.2,829,90.9,14352,97.0,96.6,52.7,1,32,2,0,5,0.31,0,0.0,12,8,6,3,27,20,7,13,1036,199,569,450,18,6,2,50.0,50.0,676,1556,3,1,4,2,762,7,2,1,0,50,13,19,40.6,€2.2M,61.3/61.3
56,Craig Dawson,ENG,Wolves,DF,35,15,10,971.0,0,0,2,0,0.5,0.0,6,20,5,0.0,0.0,0.05,0.0,N/a,N/a,N/a,N/a,20.0,0.09,0.0,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,938,1,0,2,0,443,6,5,2,0,35,21,11,65.6,€1.5M,64.4/64.4
57,Cristian Romero,ARG,Tottenham,DF,27,18,18,1416.0,1,0,3,0,1.6,0.6,12,71,3,0.06,0.0,0.1,0.04,N/a,N/a,N/a,N/a,50.0,0.51,0.06,9.1,1094,89.5,20402,91.4,94.7,63.5,7,109,8,1,20,1.27,4,0.25,35,29,30,9,18,3,15,21,1377,157,594,720,74,23,4,25.0,50.0,896,2893,18,0,10,5,936,14,12,2,3,90,41,27,60.3,€60.1M,72.6/74.8
58,Curtis Jones,ENG,Liverpool,"MF,DF",24,30,17,1528.0,3,3,3,1,4.1,1.0,24,95,71,0.18,0.18,0.24,0.06,N/a,N/a,N/a,N/a,38.7,0.71,0.1,16.9,911,93.3,13290,96.9,92.7,75.0,19,70,17,0,42,2.47,7,0.41,36,20,25,8,16,7,9,6,1145,32,187,615,349,52,19,57.9,36.8,702,1598,17,6,23,32,867,17,24,1,6,86,13,12,52.0,€61.7M,77.9/84.0
59,Daichi Kamada,JPN,Crystal Palace,MF,28,31,14,1424.0,0,0,4,1,1.1,1.8,24,80,54,0.0,0.0,0.07,0.11,N/a,N/a,N/a,N/a,20.0,0.25,0.0,20.3,541,79.8,8735,88.0,82.6,58.5,19,42,13,2,49,3.1,3,0.19,45,27,38,25,21,5,16,16,851,19,181,447,230,30,15,40.0,46.7,427,1025,19,5,15,18,544,27,19,2,29,72,3,13,18.8,€14.6M,71.5/71.5
60,Dan Burn,ENG,Newcastle Utd,DF,32,34,34,3060.0,1,0,10,0,1.7,0.9,9,59,10,0.03,0.0,0.05,0.03,N/a,N/a,N/a,N/a,25.0,0.15,0.05,9.9,1630,88.9,29674,90.3,94.7,61.3,8,39,7,0,21,0.62,3,0.09,34,19,32,15,32,23,9,25,2184,344,1220,861,109,49,4,75.0,25.0,1246,2498,5,1,23,3,1470,30,11,5,3,95,134,65,67.3,€9.1M,77.0/77.0
61,Dango Ouattara,BFA,Bournemouth,FW,23,32,21,2005.0,7,4,3,0,8.4,5.5,79,43,191,0.31,0.18,0.38,0.25,N/a,N/a,N/a,N/a,32.3,0.9,0.11,13.5,367,60.0,5725,72.9,62.2,37.3,35,21,26,11,72,3.23,6,0.27,35,26,41,24,36,10,26,11,959,62,165,316,497,128,82,47.6,41.5,492,1777,35,38,63,32,577,16,19,14,88,92,45,63,41.7,€28.5M,72.9/80.4
62,Daniel Muñoz,COL,Crystal Palace,DF,28,34,34,2958.0,4,4,10,0,4.7,4.5,54,89,191,0.12,0.12,0.14,0.14,N/a,N/a,N/a,N/a,39.4,0.4,0.12,12.3,1052,75.6,16013,85.5,77.1,44.0,41,53,33,14,78,2.37,9,0.27,113,74,89,37,36,4,32,40,1871,111,524,768,598,95,54,38.9,57.4,730,1604,35,15,50,18,883,49,19,13,68,155,58,75,43.6,€30.9M,77.5/77.5
63,Danny Welbeck,ENG,Brighton,FW,34,28,22,1942.0,9,4,5,0,8.1,1.2,19,42,83,0.42,0.19,0.38,0.06,N/a,N/a,N/a,N/a,37.7,0.93,0.17,15.2,368,84.2,4306,86.3,87.0,100.0,19,17,13,0,44,2.04,6,0.28,23,14,18,11,17,2,15,5,648,15,50,277,326,90,36,33.3,58.3,395,777,20,7,45,25,483,11,22,4,3,40,15,29,34.1,€6M,72.1/72.1
64,Dara O'Shea,IRL,Ipswich Town,DF,26,32,32,2852.0,0,2,6,0,1.2,0.5,3,71,8,0.0,0.06,0.04,0.02,N/a,N/a,N/a,N/a,10.0,0.06,0.0,13.6,1112,77.7,22113,86.7,84.8,50.0,3,83,3,1,22,0.69,4,0.13,47,30,31,11,59,47,12,31,1841,361,1065,663,118,48,2,50.0,50.0,805,1751,2,0,11,4,1048,18,22,3,7,101,103,79,56.6,€19.5M,64.8/69.8
65,Darwin Núñez,URU,Liverpool,FW,25,27,8,1051.0,5,2,8,0,5.3,1.2,22,27,69,0.43,0.17,0.45,0.11,N/a,N/a,N/a,N/a,36.4,1.03,0.15,14.3,151,70.6,2248,80.4,73.0,66.7,9,9,2,0,27,2.31,4,0.34,19,16,16,10,6,0,6,3,340,10,44,113,193,66,21,38.1,57.1,184,529,17,12,21,19,228,27,14,11,2,39,17,30,36.2,€60.9M,80.5/84.1
66,David Raya,ESP,Arsenal,GK,29,35,35,3150.0,0,0,2,0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.89,74.1,34.3,0.0,,0.0,,,979,74.6,23137,98.9,98.3,38.2,0,41,2,0,4,0.11,1,0.03,0,0,2,2,0,0,0,2,1367,802,1284,83,0,0,1,100.0,0.0,856,2563,0,0,1,0,789,1,9,0,0,38,10,0,100.0,€28.9M,86.5/86.5
67,Dean Henderson,ENG,Crystal Palace,GK,28,35,35,3150.0,0,0,3,0,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,1.37,67.1,28.6,50.0,0.0,0.0,0.0,14.9,682,61.4,18786,99.4,99.4,31.0,2,21,1,0,3,0.09,0,0.0,2,1,6,4,0,0,0,0,1200,974,1195,4,1,1,0,,,689,1950,0,0,2,0,523,0,1,0,0,25,11,1,91.7,€22.7M,78.0/78.0
68,Dean Huijsen,ESP,Bournemouth,DF,20,29,24,2234.0,3,1,8,0,1.9,2.0,36,116,10,0.12,0.04,0.08,0.08,N/a,N/a,N/a,N/a,16.7,0.12,0.17,11.9,1204,83.4,24235,89.0,91.6,59.3,14,146,7,2,40,1.61,3,0.12,33,23,25,10,36,28,8,49,1803,238,820,861,131,30,5,40.0,60.0,992,3937,26,0,18,1,1117,29,10,2,12,96,64,41,61.0,€55M,65.2/82.3
69,Declan Rice,ENG,Arsenal,MF,26,33,31,2645.0,3,7,7,1,3.3,6.5,88,180,92,0.1,0.24,0.11,0.22,N/a,N/a,N/a,N/a,25.0,0.37,0.07,19.3,1304,83.5,22238,92.0,90.5,48.9,56,126,35,5,106,3.61,10,0.34,52,24,37,21,24,11,13,25,1839,71,302,863,693,77,28,46.4,50.0,977,3274,54,16,36,29,1204,20,16,2,157,143,31,24,56.4,€107.8M,83.7/86.6
70,Dejan Kulusevski,SWE,Tottenham,"MF,FW",25,31,26,2371.0,7,4,3,0,4.2,6.2,120,123,210,0.27,0.15,0.16,0.24,N/a,N/a,N/a,N/a,37.0,0.65,0.15,14.8,656,73.6,9184,86.2,78.0,40.5,65,62,52,6,127,4.82,9,0.34,45,23,51,32,34,5,29,13,1272,24,149,430,717,157,117,32.5,60.7,821,3206,67,40,77,73,894,47,38,5,89,119,10,15,40.0,€60.5M,86.7/91.7
71,Destiny Udogie,ITA,Tottenham,DF,22,24,23,1834.0,0,1,2,0,0.3,1.5,54,120,93,0.0,0.05,0.01,0.07,N/a,N/a,N/a,N/a,20.0,0.05,0.0,15.1,947,87.4,13710,91.3,90.4,80.0,16,88,6,1,35,1.72,3,0.15,74,47,47,14,40,6,34,21,1336,60,377,591,383,49,32,40.6,50.0,735,2290,39,12,32,19,796,29,38,2,19,109,13,13,50.0,€59.4M,78.5/90.3
72,Diogo Dalot,POR,Manchester Utd,DF,26,32,31,2788.0,0,3,5,0,2.0,2.0,62,102,164,0.0,0.1,0.06,0.07,N/a,N/a,N/a,N/a,21.7,0.16,0.0,15.6,1336,80.5,21497,89.9,81.9,55.4,26,61,25,8,74,2.39,5,0.16,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,50.9,41.5,1111,2684,37,16,37,21,1186,40,9,4,65,164,38,21,64.4,€37.4M,73.1/77.0
73,Diogo Jota,POR,Liverpool,FW,28,24,14,1154.0,6,3,2,0,7.5,1.8,36,33,86,0.47,0.23,0.59,0.14,N/a,N/a,N/a,N/a,27.1,1.01,0.13,12.3,205,69.7,3120,76.2,75.0,61.9,11,29,3,1,35,2.73,9,0.7,14,8,19,12,9,0,9,7,459,5,30,190,246,93,32,34.4,59.4,251,754,21,20,37,22,317,22,14,1,8,40,22,30,42.3,€58.6M,83.2/83.6
74,Djed Spence,ENG,Tottenham,DF,24,22,17,1604.0,1,2,4,1,0.6,1.8,56,100,70,0.06,0.11,0.03,0.1,N/a,N/a,N/a,N/a,30.0,0.17,0.1,23.9,923,85.5,13205,93.7,85.8,51.7,11,74,18,8,28,1.57,5,0.28,40,30,27,7,24,9,15,18,1316,72,448,600,288,25,69,49.3,40.6,741,2372,41,7,26,31,812,20,23,2,25,101,20,13,60.6,€19.8M,72.5/76.5
75,Dominic Calvert-Lewin,ENG,Everton,FW,28,23,19,1588.0,3,1,2,0,6.2,0.6,22,19,107,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,36.2,0.96,0.06,12.3,177,62.8,2075,69.9,59.0,37.5,7,19,5,1,25,1.42,4,0.23,9,7,6,4,6,2,4,6,499,22,39,208,257,83,25,40.0,52.0,272,444,8,16,73,33,407,27,23,27,6,32,84,80,51.2,€17.8M,67.6/68.8
76,Dominic Solanke,ENG,Tottenham,FW,27,25,24,2119.0,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,N/a,N/a,N/a,N/a,40.7,1.02,0.14,12.1,250,71.0,3344,76.1,77.1,66.7,14,27,9,0,37,1.57,8,0.34,18,11,14,10,18,7,11,0,636,31,68,290,284,111,50,32.0,62.0,374,803,21,14,67,47,448,36,36,5,4,37,44,59,42.7,€52.1M,79.5/80.2
77,Dominik Szoboszlai,HUN,Liverpool,MF,24,33,26,2279.0,5,5,6,0,7.1,6.2,65,118,120,0.2,0.2,0.28,0.24,N/a,N/a,N/a,N/a,32.3,0.79,0.08,18.5,1029,84.6,15917,89.2,88.3,72.2,51,80,31,5,108,4.27,14,0.55,31,20,39,24,36,4,32,9,1450,24,188,704,576,96,35,54.3,37.1,740,2119,46,17,34,22,991,37,23,4,34,122,18,22,45.0,€71.4M,86.9/93.8
78,Dwight McNeil,ENG,Everton,"MF,FW",25,18,14,1262.0,4,4,1,0,1.1,3.8,35,63,74,0.29,0.29,0.08,0.27,N/a,N/a,N/a,N/a,40.0,0.71,0.16,21.9,420,73.7,7795,86.7,81.8,52.3,33,38,33,10,63,4.49,7,0.5,11,6,19,11,7,0,7,5,688,4,67,298,339,24,40,52.5,45.0,406,1041,30,5,24,29,468,6,14,1,97,71,3,15,16.7,€27M,70.8/75.4
79,Eberechi Eze,ENG,Crystal Palace,"MF,FW",26,31,29,2427.0,5,8,1,0,9.1,5.2,67,89,143,0.19,0.3,0.34,0.19,N/a,N/a,N/a,N/a,25.3,0.89,0.04,21.6,735,74.5,12395,84.3,83.5,44.9,54,47,35,4,125,4.64,9,0.33,37,22,35,18,27,0,27,11,1336,15,177,628,564,89,130,49.2,44.6,794,2262,45,21,53,44,862,11,49,9,103,133,7,37,15.9,€62.2M,74.9/75.8
80,Ederson,BRA,Manchester City,GK,31,23,23,2050.0,0,4,3,0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.10,68.5,34.8,0.0,,0.0,,,730,88.2,17943,100.0,98.4,66.3,4,20,1,0,6,0.26,4,0.18,0,0,2,2,0,0,0,1,875,619,866,9,0,0,0,,,590,1732,0,0,1,0,560,1,0,0,0,38,4,1,80.0,€19.1M,80.2/80.2
81,Edson Álvarez,MEX,West Ham,MF,27,25,19,1633.0,0,1,8,1,0.3,0.8,21,75,18,0.0,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.0,26.7,763,85.7,12894,88.8,89.7,73.5,11,80,11,3,25,1.38,2,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,45.2,38.7,603,1528,20,2,25,13,734,37,18,4,6,78,28,20,58.3,€36.5M,70.8/71.7
82,Elliot Anderson,ENG,Nott'ham Forest,MF,22,34,30,2467.0,2,6,7,0,1.9,3.1,46,128,87,0.07,0.22,0.07,0.11,N/a,N/a,N/a,N/a,18.9,0.26,0.05,19.4,949,77.6,15198,89.1,80.3,45.7,34,105,19,2,78,2.85,10,0.36,84,52,100,57,44,9,35,30,1630,95,388,775,496,62,73,49.3,39.7,820,2094,31,19,56,41,956,43,55,4,78,197,47,23,67.1,€46.5M,79.6/89.8
83,Emerson Palmieri,ITA,West Ham,DF,30,30,26,2105.0,2,1,5,0,2.0,1.5,47,66,83,0.09,0.04,0.08,0.06,N/a,N/a,N/a,N/a,43.8,0.3,0.13,19.0,859,79.9,12521,89.7,81.3,42.2,16,51,13,5,41,1.75,2,0.09,60,31,48,21,32,8,24,21,1323,82,422,557,359,28,30,33.3,56.7,553,1736,25,9,24,7,745,25,13,0,64,84,18,20,47.4,€12.6M,67.0/67.0
84,Emile Smith Rowe,ENG,Fulham,MF,24,31,23,1886.0,6,2,2,0,4.4,1.1,50,120,115,0.29,0.1,0.21,0.05,N/a,N/a,N/a,N/a,28.6,0.48,0.17,15.6,844,90.1,12107,92.1,95.4,70.4,18,76,15,1,65,3.1,11,0.52,31,18,24,16,20,2,18,11,1128,20,155,534,449,55,33,48.5,45.5,734,1838,38,11,35,13,867,18,12,4,13,69,6,17,26.1,€40.8M,75.7/80.3
85,Emiliano Martínez,ARG,Aston Villa,GK,32,34,34,2970.0,0,0,4,0,0.0,0.5,0,4,0,0.0,0.0,0.0,0.02,1.36,66.7,17.6,50.0,,0.0,,,1018,79.1,26608,97.8,98.2,50.1,2,24,0,0,6,0.18,1,0.03,3,3,2,0,1,0,1,0,1348,1015,1329,19,0,0,1,100.0,0.0,820,2626,0,0,1,0,738,1,5,0,0,29,8,1,88.9,€17.5M,74.2/74.2
86,Emmanuel Agbadou,CIV,Wolves,DF,27,13,13,1140.0,0,0,2,0,0.3,0.2,3,22,1,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.08,0.0,31.8,663,85.0,13505,91.7,92.7,61.0,4,26,1,0,15,1.18,2,0.16,27,18,17,6,16,12,4,9,924,155,527,381,22,5,10,70.0,20.0,572,1230,3,0,3,3,615,5,4,1,1,66,22,16,57.9,€18M,68.7/68.7
87,Enzo Fernández,ARG,Chelsea,MF,24,33,29,2677.0,6,7,7,0,6.0,6.5,57,199,116,0.2,0.24,0.2,0.22,N/a,N/a,N/a,N/a,37.3,0.64,0.12,18.2,1429,80.0,25393,89.0,85.0,58.0,73,156,39,7,141,4.74,16,0.54,63,32,83,52,36,7,29,13,2070,36,327,1049,708,76,46,45.7,39.1,1135,2574,53,8,27,27,1520,47,48,1,105,147,14,28,33.3,€73.7M,75.1/82.7
88,Erling Haaland,NOR,Manchester City,FW,24,28,28,2480.0,21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.1,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,478,14,19,39,25,427,22,12,4,3,29,49,45,52.1,€198.8M,92.8/100.0
89,Ethan Pinnock,JAM,Brentford,DF,31,22,21,1913.0,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.2,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,21,0.99,0,0.0,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,1633,4,0,2,4,760,8,4,0,9,50,63,43,59.4,€7.6M,70.5/70.5
90,Evanilson,BRA,Bournemouth,FW,25,28,25,2058.0,10,1,1,1,11.6,1.6,28,24,88,0.44,0.04,0.51,0.07,N/a,N/a,N/a,N/a,43.9,1.27,0.15,13.0,215,70.0,2631,75.3,73.0,66.7,23,14,3,0,56,2.45,8,0.35,16,10,12,4,10,2,8,0,505,23,50,195,263,116,19,31.6,36.8,300,820,17,14,31,22,358,33,45,17,0,59,39,58,40.2,€26.9M,73.4/77.4
