Name,Cluster,UMAP1,UMAP2,Progressive Carries (PrgC),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Pass Completion Percentage (Cmp%),Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocked Shots (Sh),Interceptions (Int),Touches in Attacking Third,Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Passes Received (Rec),Progressive Passes Received (PrgR),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won Percentage (Won%)
Carlos Forbs,0,7.9584618,6.3682737,10,0.0,0.0,0.05,0.01,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,19.1,65.9,1,2,3,5,1.89,1,0.38,5,6,2,0,1,60,58.3,41.7,75,321,3,8,85,28,0,9,11,25.0
Carlos Soler,2,6.916546,4.5264163,16,0.07,0.07,0.11,0.08,1.4849999999999999,68.15,17.9,0.0,29.2,0.46,0.04,19.1,85.1,14,41,11,47,3.12,2,0.13,11,23,16,6,8,189,44.4,50.0,341,714,16,4,506,33,0,31,64,45.0
Casemiro,1,6.262102,2.6949527,4,0.07,0.0,0.11,0.15,1.4849999999999999,68.15,17.9,0.0,28.6,0.54,0.04,18.8,78.5,20,68,20,49,3.31,3,0.2,46,66,25,10,12,217,50.0,50.0,575,823,10,0,697,26,3,19,89,64.6
Charlie Taylor,0,10.454792,6.3668017,3,0.0,0.0,0.0,0.03,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,87.0,1,8,2,2,0.68,1,0.34,5,6,1,3,3,36,100.0,0.0,91,155,3,0,133,6,0,9,7,66.7
Cheick Doucouré,0,7.962934,5.7962756,2,0.0,0.0,0.08,0.0,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,20.6,85.3,1,17,3,9,1.79,3,0.6,8,11,6,0,11,45,40.0,40.0,133,280,7,1,160,7,0,1,31,50.0
Chidozie Obi-Martin,2,7.2280483,7.349456,2,0.0,0.0,0.35,0.0,1.4849999999999999,68.15,17.9,0.0,25.0,0.58,0.0,10.8,82.6,0,1,0,2,1.16,0,0.0,1,2,0,0,0,19,33.3,66.7,22,50,0,1,29,12,0,0,9,20.0
Chiedozie Ogbene,0,8.566451,7.2684307,7,0.0,0.0,0.0,0.03,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,74.4,2,0,0,3,1.13,0,0.0,3,4,2,0,1,40,14.3,42.9,41,139,2,2,43,15,1,4,6,14.3
Chris Richards,3,8.96978,4.230214,5,0.05,0.0,0.07,0.01,1.4849999999999999,68.15,17.9,0.0,45.5,0.27,0.09,11.4,80.2,2,22,1,7,0.38,2,0.11,28,38,15,13,15,67,16.7,83.3,453,916,5,0,547,1,1,3,49,50.0
Chris Wood,2,3.7821186,6.4852047,13,0.64,0.1,0.39,0.08,1.4849999999999999,68.15,17.9,0.0,54.5,1.0,0.29,14.1,65.9,19,16,9,40,1.34,5,0.17,4,9,7,7,5,282,33.3,58.3,339,444,10,5,512,87,26,1,44,40.6
Christian Eriksen,1,6.2920566,4.0615406,12,0.0,0.18,0.03,0.25,1.4849999999999999,68.15,17.9,0.0,9.1,0.09,0.0,24.9,79.1,27,53,11,51,4.46,7,0.61,9,26,15,4,7,264,0.0,100.0,450,761,13,1,541,29,0,78,59,25.0
Christian Nørgaard,1,5.823661,2.2409308,12,0.18,0.11,0.14,0.04,1.4849999999999999,68.15,17.9,0.0,34.3,0.42,0.14,14.3,81.3,17,128,24,49,1.73,10,0.35,45,71,27,19,45,312,46.2,38.5,738,1204,12,4,974,37,1,15,179,60.3
Christian Walton,0,9.995034,7.982076,0,0.0,0.0,0.0,0.0,2.67,57.6,16.7,0.0,30.0,0.0,0.06,16.4,67.3,1,1,0,2,0.33,0,0.0,0,1,1,0,0,0,45.0,43.8,122,305,0,0,117,0,0,0,5,100.0
Christopher Nkunku,2,5.1431007,6.0437646,17,0.29,0.2,0.47,0.21,1.4849999999999999,68.15,17.9,0.0,44.0,1.07,0.12,12.6,89.5,14,26,7,34,3.32,4,0.39,8,8,2,2,7,217,37.0,51.9,280,628,16,13,356,68,3,4,29,42.1
Cody Gakpo,4,1.9662002,3.2434394,51,0.47,0.16,0.34,0.18,1.4849999999999999,68.15,17.9,0.0,41.2,1.1,0.18,15.2,75.8,33,22,27,71,3.72,7,0.37,14,23,12,2,11,506,56.9,29.4,540,1974,32,20,606,253,5,68,66,38.5
Cole Palmer,4,1.8315035,2.2121413,110,0.46,0.25,0.52,0.31,1.4849999999999999,68.15,17.9,0.0,35.7,1.26,0.1,20.2,76.9,82,153,61,190,5.86,15,0.46,17,23,14,1,11,817,46.7,38.3,1074,3497,67,39,1248,169,6,134,100,12.5
Conor Bradley,2,7.0600414,5.160748,28,0.0,0.16,0.09,0.07,1.4849999999999999,68.15,17.9,0.0,33.3,0.48,0.0,14.3,84.0,5,20,3,16,2.54,2,0.32,8,17,9,0,3,149,47.4,47.4,297,1091,19,8,335,31,0,6,36,50.0
Conor Chaplin,2,6.6748285,6.4734635,11,0.13,0.13,0.15,0.09,1.4849999999999999,68.15,17.9,0.0,25.0,0.38,0.08,18.3,72.7,8,20,7,21,2.66,1,0.13,5,13,7,1,3,104,57.1,42.9,148,403,7,0,215,20,0,9,25,18.2
Conor Coady,0,9.619275,6.1227,3,0.0,0.0,0.01,0.0,1.4849999999999999,68.15,17.9,0.0,100.0,0.06,0.0,9.2,90.9,1,32,2,5,0.31,0,0.0,8,6,3,20,13,18,50.0,50.0,676,1556,3,1,762,0,1,0,50,40.6
Conor Townsend,0,7.668385,6.2543936,2,0.0,0.27,0.01,0.18,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,16.7,63.0,4,7,2,5,1.34,1,0.27,8,11,3,6,4,38,45.0,43.8,53,136,2,0,75,13,0,12,8,60.0
Craig Dawson,0,9.2696085,5.5163903,6,0.0,0.0,0.05,0.0,1.4849999999999999,68.15,17.9,0.0,20.0,0.09,0.0,8.5,86.6,2,22,1,7,0.65,2,0.19,3,15,3,11,9,28,20.0,40.0,390,938,1,0,443,5,2,0,35,65.6
Cristian Romero,3,9.428201,3.0766404,12,0.06,0.0,0.1,0.04,1.4849999999999999,68.15,17.9,0.0,50.0,0.51,0.06,9.1,89.5,7,109,8,20,1.27,4,0.25,29,30,9,3,21,74,25.0,50.0,896,2893,18,0,936,3,2,3,90,60.3
Crysencio Summerville,2,5.952977,6.11463,29,0.11,0.11,0.19,0.19,1.4849999999999999,68.15,17.9,0.0,28.6,0.46,0.07,13.4,76.4,17,13,12,35,4.01,1,0.11,7,9,6,4,0,181,33.3,46.2,207,762,15,13,259,71,4,21,38,30.8
Curtis Jones,1,5.620337,3.655161,24,0.18,0.18,0.24,0.06,1.4849999999999999,68.15,17.9,0.0,38.7,0.71,0.1,16.9,93.3,19,70,17,42,2.47,7,0.41,20,25,8,7,6,349,57.9,36.8,702,1598,17,6,867,71,1,6,86,52.0
Daichi Kamada,1,6.3056073,3.6210775,24,0.0,0.0,0.07,0.11,1.4849999999999999,68.15,17.9,0.0,20.0,0.25,0.0,20.3,79.8,19,42,13,49,3.1,3,0.19,27,38,25,5,16,230,40.0,46.7,427,1025,19,5,544,54,2,29,72,18.8
Dan Burn,3,10.042987,2.8813612,9,0.03,0.0,0.05,0.03,1.4849999999999999,68.15,17.9,0.0,25.0,0.15,0.05,9.9,88.9,8,39,7,21,0.62,3,0.09,19,32,15,23,25,109,75.0,25.0,1246,2498,5,1,1470,10,5,3,95,67.3
Dango Ouattara,4,1.8363401,3.0973866,79,0.31,0.18,0.38,0.25,1.4849999999999999,68.15,17.9,0.0,32.3,0.9,0.11,13.5,60.0,35,21,26,72,3.23,6,0.27,26,41,24,10,11,497,47.6,41.5,492,1777,35,38,577,191,14,88,92,41.7
Daniel Muñoz,1,4.5048566,2.4032533,54,0.12,0.12,0.14,0.14,1.4849999999999999,68.15,17.9,0.0,39.4,0.4,0.12,12.3,75.6,41,53,33,78,2.37,9,0.27,74,89,37,4,40,598,38.9,57.4,730,1604,35,15,883,191,13,68,155,43.6
Danilo,0,7.9416337,5.8552785,2,0.0,0.0,0.0,0.0,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,78.1,0,13,0,7,2.37,2,0.68,3,4,2,1,3,13,50.0,50.0,49,61,0,0,83,1,0,3,18,50.0
Danny Ings,2,5.519068,5.7352505,6,0.32,0.63,0.72,0.41,1.4849999999999999,68.15,17.9,0.0,35.7,1.58,0.07,15.5,68.5,6,4,1,12,3.8,2,0.63,2,3,2,0,1,73,57.1,28.6,63,118,0,2,96,29,0,3,9,44.4
Danny Ward,0,10.04798,8.10033,0,0.0,0.0,0.0,0.0,4.0,40.0,0.0,0.0,30.0,0.0,0.06,16.4,77.4,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100.0,44,107,0,0,35,0,0,0,1,50.0
Danny Welbeck,2,4.9229803,6.204492,19,0.42,0.19,0.38,0.06,1.4849999999999999,68.15,17.9,0.0,37.7,0.93,0.17,15.2,84.2,19,17,13,44,2.04,6,0.28,14,18,11,2,5,326,33.3,58.3,395,777,20,7,483,83,4,3,40,34.1
Dara O'Shea,3,10.410818,2.81561,3,0.0,0.06,0.04,0.02,1.4849999999999999,68.15,17.9,0.0,10.0,0.06,0.0,13.6,77.7,3,83,3,22,0.69,4,0.13,30,31,11,47,31,118,50.0,50.0,805,1751,2,0,1048,8,3,7,101,56.6
Darwin Núñez,2,4.659974,6.3872743,22,0.43,0.17,0.45,0.11,1.4849999999999999,68.15,17.9,0.0,36.4,1.03,0.15,14.3,70.6,9,9,2,27,2.31,4,0.34,16,16,10,0,3,193,38.1,57.1,184,529,17,12,228,69,11,2,39,36.2
David Brooks,2,5.6501594,6.404407,25,0.22,0.0,0.24,0.18,1.4849999999999999,68.15,17.9,0.0,45.5,1.08,0.09,16.8,74.2,16,15,15,35,3.79,2,0.22,4,14,13,2,5,241,25.8,64.5,278,812,22,8,306,75,0,44,44,41.2
David Raya,0,10.6385145,7.1867614,0,0.0,0.0,0.0,0.0,0.89,74.1,34.3,0.0,30.0,0.0,0.06,16.4,74.6,0,41,2,4,0.11,1,0.03,0,2,2,0,2,0,100.0,0.0,856,2563,0,0,789,0,0,0,38,100.0
Dean Henderson,0,10.728883,7.882198,0,0.0,0.0,0.0,0.0,1.37,67.1,28.6,50.0,0.0,0.0,0.0,14.9,61.4,2,21,1,3,0.09,0,0.0,1,6,4,0,0,1,45.0,43.8,689,1950,0,0,523,0,0,0,25,91.7
Dean Huijsen,3,10.05053,2.6786852,36,0.12,0.04,0.08,0.08,1.4849999999999999,68.15,17.9,0.0,16.7,0.12,0.17,11.9,83.4,14,146,7,40,1.61,3,0.12,23,25,10,28,49,131,40.0,60.0,992,3937,26,0,1117,10,2,12,96,61.0
Declan Rice,1,3.9808216,2.4187396,88,0.1,0.24,0.11,0.22,1.4849999999999999,68.15,17.9,0.0,25.0,0.37,0.07,19.3,83.5,56,126,35,106,3.61,10,0.34,24,37,21,11,25,693,46.4,50.0,977,3274,54,16,1204,92,2,157,143,56.4
Dejan Kulusevski,4,1.8813406,2.361066,120,0.27,0.15,0.16,0.24,1.4849999999999999,68.15,17.9,0.0,37.0,0.65,0.15,14.8,73.6,65,62,52,127,4.82,9,0.34,23,51,32,5,13,717,32.5,60.7,821,3206,67,40,894,210,5,89,119,40.0
Destiny Udogie,1,5.6449504,2.6983125,54,0.0,0.05,0.01,0.07,1.4849999999999999,68.15,17.9,0.0,20.0,0.05,0.0,15.1,87.4,16,88,6,35,1.72,3,0.15,47,47,14,6,21,383,40.6,50.0,735,2290,39,12,796,93,2,19,109,50.0
Diego Carlos,0,10.448123,6.0116725,3,0.0,0.0,0.07,0.0,1.4849999999999999,68.15,17.9,0.0,25.0,0.11,0.0,6.7,88.6,0,23,1,4,0.43,0,0.0,3,6,2,7,5,15,100.0,0.0,419,1162,3,0,481,0,1,0,36,52.4
Diego Gómez,0,7.996916,5.7476435,5,0.0,0.0,0.15,0.1,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,19.4,78.9,5,12,5,14,2.86,3,0.61,10,18,9,0,7,85,50.0,50.0,163,254,3,0,206,14,1,9,30,66.7
Diogo Dalot,1,4.7670493,2.5414999,62,0.0,0.1,0.06,0.07,1.4849999999999999,68.15,17.9,0.0,21.7,0.16,0.0,15.6,80.5,26,61,25,74,2.39,5,0.16,39,52,18,9,37,557,50.9,41.5,1111,2684,37,16,1186,164,4,65,164,64.4
Diogo Jota,2,4.828508,6.225773,36,0.47,0.23,0.59,0.14,1.4849999999999999,68.15,17.9,0.0,27.1,1.01,0.13,12.3,69.7,11,29,3,35,2.73,9,0.7,8,19,12,0,7,246,34.4,59.4,251,754,21,20,317,86,1,8,40,42.3
Djed Spence,1,6.1605268,2.8857884,56,0.06,0.11,0.03,0.1,1.4849999999999999,68.15,17.9,0.0,30.0,0.17,0.1,23.9,85.5,11,74,18,28,1.57,5,0.28,30,27,7,9,18,288,49.3,40.6,741,2372,41,7,812,70,2,25,101,60.6
Dominic Calvert-Lewin,2,3.8748019,6.498779,22,0.17,0.06,0.35,0.04,1.4849999999999999,68.15,17.9,0.0,36.2,0.96,0.06,12.3,62.8,7,19,5,25,1.42,4,0.23,7,6,4,2,6,257,40.0,52.0,272,444,8,16,407,107,27,6,32,51.2
Dominic Solanke,2,4.760798,6.2668233,29,0.34,0.13,0.43,0.13,1.4849999999999999,68.15,17.9,0.0,40.7,1.02,0.14,12.1,71.0,14,27,9,37,1.57,8,0.34,11,14,10,7,0,284,32.0,62.0,374,803,21,14,448,88,5,4,37,42.7
Dominik Szoboszlai,4,2.4412968,2.8389175,65,0.2,0.2,0.28,0.24,1.4849999999999999,68.15,17.9,0.0,32.3,0.79,0.08,18.5,84.6,51,80,31,108,4.27,14,0.55,20,39,24,4,9,576,54.3,37.1,740,2119,46,17,991,120,4,34,122,45.0
Donyell Malen,2,4.77304,6.9834056,11,0.92,0.0,0.66,0.02,1.4849999999999999,68.15,17.9,0.0,60.0,2.76,0.2,15.2,69.6,2,2,1,5,1.53,0,0.0,4,4,3,0,0,86,30.0,50.0,71,312,6,7,79,25,2,7,8,50.0
Dwight McNeil,4,2.390824,3.225498,35,0.29,0.29,0.08,0.27,1.4849999999999999,68.15,17.9,0.0,40.0,0.71,0.16,21.9,73.7,33,38,33,63,4.49,7,0.5,6,19,11,0,5,339,52.5,45.0,406,1041,30,5,468,74,1,97,71,16.7
Eberechi Eze,4,2.120482,2.895638,67,0.19,0.3,0.34,0.19,1.4849999999999999,68.15,17.9,0.0,25.3,0.89,0.04,21.6,74.5,54,47,35,125,4.64,9,0.33,22,35,18,0,11,564,49.2,44.6,794,2262,45,21,862,143,9,103,133,15.9
Eddie Nketiah,2,5.7799,6.2973347,38,0.1,0.1,0.45,0.16,1.4849999999999999,68.15,17.9,0.0,31.6,1.21,0.03,14.2,74.4,12,11,4,27,2.71,2,0.2,6,12,6,1,2,180,52.6,31.6,217,815,22,13,264,68,4,5,22,36.0
Ederson,0,10.273697,7.3042555,0,0.0,0.18,0.0,0.07,1.1,68.5,34.8,0.0,30.0,0.0,0.06,16.4,88.2,4,20,1,6,0.26,4,0.18,0,2,2,0,1,0,45.0,43.8,590,1732,0,0,560,0,0,0,38,80.0
Edmond-Paris Maghoma,0,7.6812987,5.8979616,4,0.0,0.0,0.09,0.08,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,23.8,90.5,1,2,0,4,3.03,1,0.76,1,3,2,2,1,27,75.0,25.0,68,221,3,1,75,4,0,3,7,25.0
Edson Álvarez,1,7.04954,3.0191896,21,0.0,0.06,0.02,0.04,1.4849999999999999,68.15,17.9,0.0,9.1,0.06,0.0,26.7,85.7,11,80,11,25,1.38,2,0.11,23,33,18,8,16,174,45.2,38.7,603,1528,20,2,734,18,4,6,78,58.3
Elliot Anderson,1,4.771606,2.163896,46,0.07,0.22,0.07,0.11,1.4849999999999999,68.15,17.9,0.0,18.9,0.26,0.05,19.4,77.6,34,105,19,78,2.85,10,0.36,52,100,57,9,30,496,49.3,39.7,820,2094,31,19,956,87,4,78,197,67.1
Emerson Palmieri,1,6.1984663,3.1695895,47,0.09,0.04,0.08,0.06,1.4849999999999999,68.15,17.9,0.0,43.8,0.3,0.13,19.0,79.9,16,51,13,41,1.75,2,0.09,31,48,21,8,21,359,33.3,56.7,553,1736,25,9,745,83,0,64,84,47.4
Emi Buendía,2,7.3533425,7.417092,3,0.0,0.0,0.6,0.02,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,19.1,81.7,1,4,1,3,2.76,0,0.0,6,5,5,1,0,31,0.0,100.0,53,119,5,0,64,6,0,0,8,0.0
Emil Krafth,0,8.121852,7.350156,3,0.0,0.0,0.01,0.03,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,14.6,80.0,1,6,0,3,0.93,0,0.0,2,3,1,4,2,19,0.0,100.0,72,133,3,0,85,1,0,1,17,41.7
Emile Smith Rowe,1,5.448965,3.7739515,50,0.29,0.1,0.21,0.05,1.4849999999999999,68.15,17.9,0.0,28.6,0.48,0.17,15.6,90.1,18,76,15,65,3.1,11,0.52,18,24,16,2,11,449,48.5,45.5,734,1838,38,11,867,115,4,13,69,26.1
Emiliano Martínez,0,10.682984,7.8410916,0,0.0,0.0,0.0,0.02,1.36,66.7,17.6,50.0,30.0,0.0,0.06,16.4,79.1,2,24,0,6,0.18,1,0.03,3,2,0,0,0,0,100.0,0.0,820,2626,0,0,738,0,0,0,29,88.9
Emmanuel Agbadou,0,7.975435,5.1315618,3,0.0,0.0,0.02,0.02,1.4849999999999999,68.15,17.9,0.0,16.7,0.08,0.0,31.8,85.0,4,26,1,15,1.18,2,0.16,18,17,6,12,9,22,70.0,20.0,572,1230,3,0,615,1,1,1,66,57.9
Enes Ünal,2,5.005812,6.894707,4,0.52,0.26,0.72,0.1,1.4849999999999999,68.15,17.9,0.0,35.0,1.83,0.1,14.6,63.6,4,4,4,9,2.35,3,0.78,0,3,3,0,0,95,8.3,83.3,91,95,3,1,133,22,1,4,16,52.2
Enzo Fernández,1,3.856301,1.945339,57,0.2,0.24,0.2,0.22,1.4849999999999999,68.15,17.9,0.0,37.3,0.64,0.12,18.2,80.0,73,156,39,141,4.74,16,0.54,32,83,52,7,13,708,45.7,39.1,1135,2574,53,8,1520,116,1,105,147,33.3
Erling Haaland,2,4.5146194,6.697064,19,0.76,0.11,0.76,0.1,1.4849999999999999,68.15,17.9,0.0,54.5,1.96,0.19,12.2,66.0,26,9,7,62,2.25,9,0.33,5,6,4,1,5,344,34.4,59.4,272,478,14,19,427,103,4,3,29,52.1
Ethan Nwaneri,2,5.1461773,5.999447,44,0.44,0.22,0.12,0.11,1.4849999999999999,68.15,17.9,0.0,36.4,0.88,0.18,18.2,80.2,12,16,13,22,2.41,3,0.33,7,18,11,2,2,298,58.2,30.9,334,1243,23,16,362,102,6,51,33,36.4
Ethan Pinnock,3,9.201447,3.859235,3,0.09,0.0,0.05,0.05,1.4849999999999999,68.15,17.9,0.0,60.0,0.28,0.2,11.1,85.6,8,48,4,21,0.99,0,0.0,19,24,11,18,24,109,33.3,66.7,633,1633,4,0,760,9,0,9,50,59.4
Evan Ferguson,2,6.925637,6.848001,1,0.0,0.0,0.32,0.17,1.4849999999999999,68.15,17.9,0.0,20.0,0.58,0.0,17.2,75.7,2,1,0,4,2.31,0,0.0,1,0,0,1,1,31,60.0,40.0,31,41,1,1,42,7,0,0,8,33.3
Evan Ferguson,2,6.5086064,6.8899612,2,0.37,0.0,0.2,0.15,1.4849999999999999,68.15,17.9,0.0,28.6,0.73,0.14,19.2,74.1,3,1,0,4,1.47,0,0.0,3,5,3,1,0,26,50.0,50.0,42,56,1,2,52,9,0,0,10,30.8
Evanilson,2,3.772894,6.3733964,28,0.44,0.04,0.51,0.07,1.4849999999999999,68.15,17.9,0.0,43.9,1.27,0.15,13.0,70.0,23,14,3,56,2.45,8,0.35,10,12,4,2,0,263,31.6,36.8,300,820,17,14,358,88,17,0,59,40.2
Ezri Konsa,3,9.5774,3.097092,17,0.03,0.0,0.03,0.01,1.4849999999999999,68.15,17.9,0.0,33.3,0.1,0.11,9.1,92.8,5,95,1,23,0.78,3,0.1,17,22,4,10,21,100,44.4,38.9,1021,2561,12,2,1223,11,0,5,89,58.5
Fabian Schär,3,10.036702,2.6482449,14,0.14,0.0,0.08,0.01,1.4849999999999999,68.15,17.9,0.0,32.3,0.34,0.13,21.2,83.8,5,145,10,32,1.08,4,0.14,21,34,20,24,41,133,66.7,16.7,1331,3403,23,2,1474,18,4,10,125,43.0
Fabio Carvalho,2,5.3800225,6.942145,9,0.4,0.2,0.49,0.13,1.4849999999999999,68.15,17.9,0.0,41.7,0.99,0.17,14.7,70.8,4,11,5,10,1.97,1,0.2,9,13,7,1,3,113,14.3,71.4,137,356,3,0,145,23,1,10,30,25.0
Facundo Buonanotte,1,5.7788124,3.3163283,38,0.24,0.12,0.23,0.19,1.4849999999999999,68.15,17.9,0.0,29.4,0.61,0.12,17.8,76.6,24,40,13,50,3.05,4,0.24,32,67,46,6,11,300,32.9,62.0,465,1321,26,8,515,69,3,41,77,32.7
Ferdi Kadioglu,3,7.80936,4.8310046,1,0.23,0.0,0.1,0.04,1.4849999999999999,68.15,17.9,0.0,25.0,0.23,0.25,15.1,82.3,5,10,9,13,3.03,2,0.47,6,15,9,2,8,72,42.9,42.9,124,183,0,0,144,27,1,9,14,75.0
Filip Jørgensen,0,9.293785,7.1222568,0,0.0,0.0,0.0,0.0,1.5,71.4,16.7,0.0,30.0,0.0,0.06,16.4,83.6,0,1,0,1,0.17,0,0.0,0,0,0,0,0,0,45.0,43.8,145,423,0,0,139,0,0,0,5,50.0
Flynn Downes,1,6.7557755,2.9441984,25,0.05,0.0,0.03,0.05,1.4849999999999999,68.15,17.9,0.0,30.0,0.14,0.1,18.7,90.1,15,54,12,30,1.44,2,0.1,24,32,18,6,30,210,33.3,46.7,567,1610,21,4,840,28,0,3,75,51.9
Fraser Forster,0,10.518766,6.5062776,0,0.0,0.0,0.0,0.0,2.14,69.0,14.3,0.0,30.0,0.0,0.06,16.4,84.8,0,1,0,0,0.0,0,0.0,0,1,1,0,0,0,100.0,0.0,113,264,0,0,94,0,0,0,1,100.0
Gabriel Jesus,2,4.9611053,6.3817306,15,0.44,0.0,0.44,0.1,1.4849999999999999,68.15,17.9,0.0,35.0,1.04,0.15,11.1,76.8,8,10,9,18,2.66,4,0.59,6,9,5,1,4,165,40.9,45.5,179,432,6,11,217,57,9,7,28,33.3
Gabriel Magalhães,3,10.057724,2.694736,10,0.11,0.04,0.1,0.03,1.4849999999999999,68.15,17.9,0.0,22.7,0.19,0.14,9.5,90.2,13,145,8,35,1.33,6,0.23,15,16,4,29,16,225,80.0,20.0,1116,2669,22,0,1366,11,0,9,63,58.9
Gabriel Martinelli,4,1.6221417,2.8424883,112,0.31,0.18,0.26,0.21,1.4849999999999999,68.15,17.9,0.0,42.6,0.88,0.15,13.3,71.0,37,11,32,66,2.91,6,0.26,15,23,16,0,4,586,30.2,54.7,597,2355,30,59,678,267,8,83,72,33.3
George Hirst,2,5.09767,6.9796357,9,0.55,0.18,0.28,0.06,1.4849999999999999,68.15,17.9,0.0,50.0,0.91,0.3,11.1,55.8,4,1,4,8,1.45,3,0.54,3,3,2,1,2,87,40.0,40.0,89,199,2,6,138,29,2,3,8,60.0
Georginio Rutter,2,4.965904,5.3807592,42,0.27,0.16,0.25,0.14,1.4849999999999999,68.15,17.9,0.0,24.0,0.65,0.1,15.5,66.8,19,30,16,64,3.47,8,0.43,15,36,22,3,10,326,38.0,47.9,361,1405,36,16,411,79,7,9,66,35.2
