Name,Cluster,UMAP1,UMAP2,Progressive Carries (PrgC),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Pass Completion Percentage (Cmp%),Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocked Shots (Sh),Interceptions (Int),Touches in Attacking Third,Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Passes Received (Rec),Progressive Passes Received (PrgR),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won Percentage (Won%)
Gonçalo Guedes,2,5.8034353,5.6222925,32,0.23,0.46,0.26,0.13,1.4849999999999999,68.15,17.9,0.0,36.8,0.8,0.11,20.0,72.7,11,13,17,23,2.64,8,0.92,4,15,12,0,5,180,25.0,55.0,230,904,21,5,255,60,3,17,34,21.4
Guglielmo Vicario,0,10.666672,6.6304064,0,0.0,0.0,0.0,0.0,1.43,64.9,17.4,0.0,30.0,0.0,0.06,16.4,87.6,0,1,0,4,0.17,0,0.0,0,0,0,0,1,0,100.0,0.0,636,1635,0,0,577,0,0,0,32,100.0
Guido Rodríguez,0,8.00203,5.1388845,2,0.0,0.0,0.02,0.01,1.4849999999999999,68.15,17.9,0.0,12.5,0.09,0.0,27.8,84.1,3,36,1,10,0.88,0,0.0,16,30,16,9,12,56,66.7,0.0,284,392,5,0,354,5,1,4,46,53.3
Hamza Choudhury,0,10.089717,6.42981,4,0.0,0.0,0.0,0.27,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,85.7,2,10,1,3,2.05,0,0.0,1,3,2,2,5,20,75.0,25.0,63,130,2,2,71,6,0,5,2,50.0
Harrison Reed,2,6.6498504,7.096796,1,0.0,0.0,0.21,0.07,1.4849999999999999,68.15,17.9,0.0,66.7,1.65,0.0,21.7,70.9,1,1,1,1,0.89,0,0.0,3,3,2,0,1,40,0.0,50.0,31,27,1,0,38,7,0,6,10,33.3
Harry Amass,0,8.257482,6.625763,9,0.0,0.0,0.02,0.01,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,20.9,82.9,1,4,0,6,2.11,0,0.0,2,6,4,1,2,65,42.9,42.9,102,342,6,2,101,17,1,6,17,50.0
Harry Clarke,0,9.61743,6.5140452,5,0.0,0.0,0.02,0.01,1.4849999999999999,68.15,17.9,0.0,100.0,0.24,0.0,4.5,80.5,1,21,1,1,0.24,0,0.0,3,6,3,4,4,47,50.0,50.0,118,222,7,0,163,2,0,5,17,71.4
Harry Maguire,3,9.546502,3.6083329,6,0.06,0.0,0.08,0.01,1.4849999999999999,68.15,17.9,0.0,41.7,0.29,0.08,7.9,85.9,6,43,3,17,0.99,0,0.0,13,18,5,12,37,65,40.0,60.0,677,1673,7,3,739,7,1,3,57,70.3
Harry Toffolo,0,9.327427,7.3691225,0,0.0,0.0,0.01,0.0,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,28.5,70.1,0,1,0,0,0.0,0,0.0,3,4,1,2,2,34,45.0,43.8,17,23,0,0,30,4,0,4,2,100.0
Harry Wilson,2,5.115737,6.125946,17,0.45,0.09,0.33,0.1,1.4849999999999999,68.15,17.9,0.0,34.4,0.99,0.16,17.3,73.9,19,25,13,37,3.32,3,0.27,9,15,6,1,5,273,37.5,41.7,299,693,18,8,342,83,1,38,50,18.2
Harry Winks,1,6.923654,3.5264573,19,0.0,0.12,0.01,0.07,1.4849999999999999,68.15,17.9,0.0,40.0,0.23,0.0,29.2,87.1,17,110,7,39,2.28,3,0.18,11,30,17,7,9,151,25.0,66.7,696,1522,13,0,827,11,0,34,106,57.1
Harvey Barnes,4,1.9270453,3.255676,80,0.54,0.24,0.39,0.23,1.4849999999999999,68.15,17.9,0.0,32.7,1.08,0.16,15.0,78.8,23,22,36,57,3.4,9,0.54,9,10,7,1,6,398,37.9,50.0,498,2160,41,44,567,172,5,41,49,26.3
Harvey Elliott,2,6.1806884,5.6258903,8,0.0,0.34,0.28,0.29,1.4849999999999999,68.15,17.9,0.0,15.4,0.67,0.0,18.0,81.5,6,18,4,15,5.06,2,0.67,3,5,4,1,1,122,50.0,50.0,147,301,9,5,193,25,1,10,10,33.3
Hwang Hee-chan,3,8.446582,4.2832203,15,0.28,0.0,0.11,0.02,1.4849999999999999,68.15,17.9,0.0,60.0,0.41,0.4,17.4,81.5,3,7,4,9,1.24,1,0.14,4,6,4,0,2,124,14.3,85.7,151,426,5,7,174,41,0,8,27,25.0
Hákon Rafn Valdimarsson,0,10.4423275,7.486439,0,0.0,0.0,0.0,0.0,1.24,50.0,100.0,0.0,30.0,0.0,0.06,16.4,65.7,0,2,0,2,1.24,0,0.0,0,0,0,0,0,0,45.0,43.8,44,80,0,0,36,0,0,0,1,100.0
Ian Maatsen,2,5.8284936,4.8566127,27,0.09,0.19,0.07,0.25,1.4849999999999999,68.15,17.9,0.0,29.4,0.47,0.06,22.3,81.8,18,20,15,49,4.6,7,0.66,15,22,6,0,15,297,47.8,52.2,429,1037,15,11,486,91,3,48,61,57.1
Ibrahim Sangaré,2,6.8086524,6.5949264,0,0.0,0.24,0.0,0.09,1.4849999999999999,68.15,17.9,0.0,100.0,0.24,0.0,32.0,82.0,4,18,2,6,1.46,0,0.0,11,12,8,3,3,40,0.0,100.0,101,137,2,0,146,3,0,0,29,40.0
Ibrahima Konaté,3,9.72021,2.7999527,21,0.04,0.08,0.07,0.04,1.4849999999999999,68.15,17.9,0.0,16.7,0.12,0.06,10.5,90.3,10,125,8,30,1.16,7,0.27,25,34,10,15,12,110,50.0,25.0,1184,3160,13,0,1454,3,0,0,86,72.0
Idrissa Gana Gueye,1,5.652129,2.056828,26,0.0,0.1,0.03,0.05,1.4849999999999999,68.15,17.9,0.0,18.5,0.16,0.0,25.2,86.5,19,136,10,56,1.8,3,0.1,74,90,36,9,44,321,47.2,47.2,781,1611,27,4,943,24,0,7,180,60.5
Igor,0,10.068267,5.599144,9,0.0,0.0,0.0,0.02,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,14.1,92.1,1,35,2,11,1.1,0,0.0,4,10,6,14,4,38,75.0,25.0,497,1782,14,0,568,0,0,2,40,57.1
Iliman Ndiaye,1,5.1177583,3.5494385,81,0.28,0.0,0.21,0.06,1.4849999999999999,68.15,17.9,0.0,40.6,0.52,0.16,17.4,80.8,17,35,14,59,2.36,5,0.2,25,45,26,5,17,435,46.0,46.7,575,2221,41,30,612,115,5,38,163,24.0
Illia Zabarnyi,3,9.981026,2.735815,25,0.0,0.0,0.03,0.02,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,9.8,81.6,11,134,6,28,0.89,0,0.0,32,44,14,20,38,69,62.5,25.0,1158,4451,20,0,1168,4,0,5,143,64.3
Ismaila Sarr,4,1.9491614,3.0089135,69,0.25,0.15,0.33,0.26,1.4849999999999999,68.15,17.9,0.0,50.0,0.91,0.14,13.2,66.2,39,27,39,101,3.66,10,0.36,10,23,16,8,9,475,30.9,52.7,555,1930,42,26,684,169,11,55,103,41.0
Issa Diop,0,9.435595,5.583469,6,0.0,0.0,0.04,0.01,1.4849999999999999,68.15,17.9,0.0,40.0,0.13,0.0,10.7,87.5,3,43,1,6,0.4,0,0.0,12,18,5,7,9,26,50.0,50.0,533,1216,2,0,617,3,0,1,45,62.5
Jack Clarke,2,6.219791,5.073648,32,0.0,0.34,0.08,0.17,1.4849999999999999,68.15,17.9,0.0,14.3,0.17,0.0,19.4,76.4,23,25,6,40,3.41,5,0.43,17,32,16,0,7,187,52.4,33.3,272,1015,18,9,293,47,3,13,67,33.3
Jack Grealish,2,5.6784816,5.373063,69,0.12,0.12,0.14,0.23,1.4849999999999999,68.15,17.9,0.0,33.3,0.62,0.07,16.3,87.6,24,23,16,47,5.87,2,0.25,5,5,3,2,2,324,44.8,31.0,375,1714,23,46,422,118,0,20,26,12.5
Jack Harrison,1,5.0181518,3.5650342,64,0.05,0.0,0.16,0.17,1.4849999999999999,68.15,17.9,0.0,22.2,0.28,0.04,16.3,63.1,32,26,25,53,2.51,4,0.19,21,40,26,2,9,429,31.9,56.9,479,1491,34,14,562,116,4,118,65,13.3
Jack Hinshelwood,1,6.749844,3.3601146,18,0.1,0.1,0.08,0.07,1.4849999999999999,68.15,17.9,0.0,42.9,0.31,0.14,14.3,83.4,15,33,9,33,1.7,3,0.15,18,27,16,3,15,299,18.2,72.7,565,1142,20,2,714,47,0,26,58,55.9
Jack Stephens,3,8.920548,4.172515,13,0.07,0.0,0.04,0.01,1.4849999999999999,68.15,17.9,0.0,50.0,0.15,0.25,11.0,92.0,3,47,5,13,0.97,0,0.0,19,27,12,10,11,95,0.0,100.0,552,1209,12,1,690,2,1,1,41,42.9
Jack Taylor,2,7.608904,5.2313294,11,0.12,0.0,0.08,0.06,1.4849999999999999,68.15,17.9,0.0,23.5,0.47,0.06,23.0,82.3,5,29,8,21,2.46,2,0.23,10,23,11,3,9,89,44.4,33.3,232,755,10,1,303,21,0,6,48,50.0
Jacob Greaves,3,9.907012,3.4827127,7,0.05,0.0,0.06,0.0,1.4849999999999999,68.15,17.9,0.0,50.0,0.19,0.13,8.3,86.2,2,63,1,13,0.6,0,0.0,19,33,12,24,18,75,66.7,33.3,538,969,9,0,739,8,1,1,48,63.1
Jacob Murphy,4,1.7400936,2.9525976,70,0.34,0.46,0.24,0.34,1.4849999999999999,68.15,17.9,0.0,35.7,0.63,0.19,18.2,68.3,38,49,35,73,3.07,14,0.59,15,31,15,0,11,568,48.4,46.9,665,2081,31,25,824,216,3,110,92,21.1
Jacob Ramsey,1,5.4847627,4.2811117,57,0.06,0.18,0.09,0.13,1.4849999999999999,68.15,17.9,0.0,22.2,0.24,0.06,16.7,85.4,20,31,21,51,3.03,8,0.47,15,20,10,3,7,344,57.1,23.8,474,1631,31,19,552,105,5,10,77,37.5
Jaden Philogene Bidace,0,7.8414674,7.17227,7,0.0,0.0,0.13,0.08,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,16.0,73.3,1,1,3,5,1.36,0,0.0,5,6,2,0,3,66,26.7,53.3,75,239,5,7,83,17,1,4,21,0.0
Jaden Philogene Bidace,2,5.563991,7.1206145,13,0.38,0.0,0.37,0.05,1.4849999999999999,68.15,17.9,0.0,41.7,0.95,0.17,16.4,72.5,5,7,4,9,1.71,0,0.0,7,15,7,1,10,101,27.8,61.1,127,305,3,5,133,36,1,13,23,62.5
Jadon Sancho,4,1.5054247,2.8930557,98,0.16,0.21,0.12,0.19,1.4849999999999999,68.15,17.9,0.0,33.3,0.43,0.13,15.1,82.5,36,26,47,67,3.57,10,0.53,6,12,7,0,2,552,47.4,40.0,626,2374,33,56,726,218,6,23,97,33.3
Jahmai Simpson-Pusey,0,8.96701,7.2076926,1,0.0,0.0,0.0,0.0,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,93.0,0,3,0,0,0.0,0,0.0,0,1,1,1,0,3,0.0,0.0,79,190,0,0,101,0,0,0,3,25.0
Jake O'Brien,3,8.392982,4.0130854,7,0.13,0.0,0.05,0.04,1.4849999999999999,68.15,17.9,0.0,60.0,0.19,0.4,11.5,78.3,6,41,8,16,1.04,0,0.0,16,24,8,4,4,135,40.0,50.0,356,743,6,2,428,24,3,18,51,55.0
Jakub Kiwior,3,8.260518,4.023784,5,0.11,0.0,0.02,0.03,1.4849999999999999,68.15,17.9,0.0,33.3,0.11,0.33,18.5,90.9,3,47,3,6,0.63,0,0.0,7,11,3,5,3,53,75.0,25.0,376,848,5,1,500,0,1,1,19,53.3
Jakub Stolarczyk,0,9.885708,7.8356752,0,0.0,0.0,0.0,0.0,1.71,61.3,14.3,0.0,30.0,0.0,0.06,16.4,68.3,0,2,0,0,0.0,0,0.0,1,2,1,0,0,0,45.0,43.8,157,430,0,0,158,0,0,0,8,100.0
James Bree,0,7.95475,5.3018413,10,0.0,0.1,0.01,0.09,1.4849999999999999,68.15,17.9,0.0,25.0,0.1,0.0,22.7,83.8,10,26,6,15,1.51,1,0.1,10,17,10,3,8,150,50.0,25.0,319,713,11,0,389,34,0,24,56,70.6
James Garner,1,6.5644336,3.6718075,12,0.0,0.07,0.02,0.09,1.4849999999999999,68.15,17.9,0.0,28.6,0.14,0.0,24.1,75.0,12,50,6,33,2.24,5,0.34,27,35,16,3,17,213,37.5,62.5,399,684,15,1,451,22,0,52,64,55.6
James Hill,0,7.9703937,6.300645,3,0.0,0.2,0.06,0.05,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,13.9,64.9,3,20,6,8,1.61,1,0.2,8,11,8,0,9,54,50.0,50.0,146,295,6,0,179,8,0,10,13,53.8
James Justin,1,6.2319164,2.9039316,39,0.07,0.03,0.05,0.02,1.4849999999999999,68.15,17.9,0.0,25.0,0.2,0.08,16.0,77.8,13,74,21,31,1.05,1,0.03,29,51,23,14,44,365,30.0,43.3,797,1672,25,4,989,92,2,53,79,56.0
James Maddison,4,2.2893503,2.925398,45,0.45,0.35,0.29,0.21,1.4849999999999999,68.15,17.9,0.0,43.6,0.85,0.23,16.7,81.3,41,123,32,95,4.73,18,0.9,19,29,20,4,12,576,42.9,44.2,1026,2279,39,20,1125,95,4,98,76,41.7
James Mcatee,2,4.790853,7.1042943,7,0.89,0.0,0.83,0.1,1.4849999999999999,68.15,17.9,0.0,33.3,1.18,0.25,14.3,78.9,2,7,2,3,0.89,1,0.3,2,7,6,0,2,75,28.6,71.4,83,189,5,1,108,26,0,5,8,40.0
James Milner,0,7.89695,6.236713,1,0.0,0.0,0.09,0.12,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,16.0,75.3,4,3,1,8,4.26,0,0.0,2,3,0,2,2,31,100.0,0.0,46,97,1,0,58,10,0,8,2,0.0
James Tarkowski,3,10.455983,2.8724103,9,0.03,0.03,0.04,0.09,1.4849999999999999,68.15,17.9,0.0,26.7,0.12,0.07,8.4,81.0,16,83,11,38,1.17,4,0.12,40,39,15,42,41,106,71.4,28.6,727,1943,10,0,927,3,2,1,98,75.6
James Ward-Prowse,2,7.207668,4.9273567,9,0.0,0.11,0.07,0.14,1.4849999999999999,68.15,17.9,0.0,22.2,0.22,0.0,21.9,87.6,15,62,4,26,2.88,1,0.11,10,13,9,3,5,122,40.0,60.0,321,674,13,0,459,4,0,39,43,60.0
James Ward-Prowse,2,6.9872212,5.745716,1,0.0,0.23,0.01,0.25,1.4849999999999999,68.15,17.9,0.0,50.0,0.23,0.0,29.0,79.7,4,16,2,10,2.25,2,0.45,1,2,0,2,5,45,45.0,43.8,92,170,3,0,115,3,0,19,19,37.5
Jamie Vardy,2,3.7144802,6.3947477,27,0.27,0.1,0.36,0.1,1.4849999999999999,68.15,17.9,0.0,42.3,0.75,0.13,12.4,66.8,18,10,9,44,1.49,9,0.3,13,13,9,4,5,248,42.9,47.6,264,645,11,14,356,110,25,11,35,49.0
Jan Bednarek,3,10.226836,3.0083194,5,0.07,0.0,0.02,0.02,1.4849999999999999,68.15,17.9,0.0,40.0,0.07,0.4,16.0,92.7,5,72,1,16,0.59,0,0.0,18,30,15,33,54,41,100.0,0.0,1035,1731,5,1,1294,2,0,1,106,65.4
Jan Paul van Hecke,3,9.791913,2.4811132,53,0.03,0.03,0.04,0.05,1.4849999999999999,68.15,17.9,0.0,31.3,0.17,0.06,14.1,87.9,13,207,16,48,1.61,3,0.1,26,38,18,19,23,154,45.5,36.4,1572,6740,42,0,1665,5,0,11,120,61.9
Jannik Vestergaard,0,10.371632,5.7078276,3,0.0,0.0,0.01,0.01,1.4849999999999999,68.15,17.9,0.0,66.7,0.13,0.0,9.7,90.7,3,34,1,7,0.45,0,0.0,10,15,6,14,16,28,100.0,0.0,672,1458,3,0,757,2,0,0,46,57.8
Jarell Quansah,0,9.05342,6.122776,2,0.0,0.0,0.02,0.02,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,8.9,91.0,1,21,1,2,0.44,0,0.0,8,8,2,7,6,26,50.0,50.0,220,592,3,1,266,4,0,2,16,37.5
Jarrad Branthwaite,3,9.991838,3.2847912,9,0.0,0.04,0.04,0.03,1.4849999999999999,68.15,17.9,0.0,37.5,0.11,0.0,8.2,82.2,3,80,2,13,0.5,2,0.08,20,27,7,22,23,63,60.0,20.0,694,2253,13,2,826,2,1,5,84,58.2
Jarrod Bowen,4,1.7014935,2.6281605,98,0.33,0.23,0.26,0.21,1.4849999999999999,68.15,17.9,0.0,41.0,1.06,0.12,17.4,71.4,49,37,43,104,3.44,13,0.43,24,37,20,3,16,607,34.5,56.9,667,2311,43,56,736,188,10,101,120,20.7
Jason Steele,0,10.430594,7.3159246,0,0.0,0.0,0.0,0.0,0.5,75.0,50.0,0.0,30.0,0.0,0.06,16.4,90.2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,45.0,43.8,91,151,0,0,83,0,0,0,7,50.0
Jean-Clair Todibo,0,9.127998,5.338312,9,0.0,0.0,0.01,0.0,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,14.6,87.4,2,40,1,5,0.29,0,0.0,24,33,8,12,21,44,50.0,50.0,623,1363,5,0,735,5,0,3,65,48.9
Jean-Philippe Mateta,2,3.6971524,6.3060393,38,0.5,0.07,0.43,0.11,1.4849999999999999,68.15,17.9,0.0,41.0,0.89,0.2,15.7,64.9,27,32,15,56,2.0,8,0.29,12,16,13,3,2,318,44.2,46.5,373,916,20,8,511,114,17,25,64,37.7
Jean-Ricner Bellegarde,2,5.7588882,4.728659,49,0.12,0.35,0.08,0.21,1.4849999999999999,68.15,17.9,0.0,25.0,0.29,0.1,21.7,78.7,26,27,17,53,3.08,10,0.58,22,19,6,3,10,295,23.3,51.7,464,1440,35,11,519,83,1,40,57,33.3
Jefferson Lerma,1,6.975473,2.6478117,11,0.0,0.04,0.04,0.06,1.4849999999999999,68.15,17.9,0.0,29.2,0.31,0.0,19.4,75.4,9,83,17,44,1.95,3,0.13,15,33,16,15,37,225,50.0,33.3,597,1004,10,0,747,25,0,11,139,50.0
Jeffrey Schlupp,2,7.073594,6.9374213,4,0.0,0.0,0.14,0.14,1.4849999999999999,68.15,17.9,0.0,50.0,1.75,0.0,17.7,78.0,3,4,2,7,6.06,0,0.0,0,3,3,0,0,41,100.0,0.0,30,67,1,1,41,9,0,4,6,42.9
Jens Cajuste,1,7.1295686,2.9655418,23,0.05,0.0,0.02,0.03,1.4849999999999999,68.15,17.9,0.0,10.0,0.05,0.1,21.3,82.4,11,45,5,30,1.51,1,0.05,19,47,28,9,25,185,54.3,32.6,421,1182,21,3,522,16,0,9,99,36.4
Jeremy Doku,4,1.314091,2.6988533,189,0.19,0.39,0.07,0.28,1.4849999999999999,68.15,17.9,0.0,37.5,0.58,0.13,18.2,79.3,28,12,44,68,4.38,13,0.84,19,14,7,1,4,705,55.1,29.2,731,4355,88,90,786,259,5,51,57,0.0
Jesper Lindstrøm,1,6.058144,3.5933993,30,0.0,0.07,0.15,0.15,1.4849999999999999,68.15,17.9,0.0,35.7,0.73,0.0,21.0,69.4,19,18,12,46,3.35,1,0.07,25,55,36,3,12,303,18.6,72.1,302,780,19,7,347,81,1,71,70,33.3
Joachim Andersen,3,10.109515,2.5317502,13,0.0,0.0,0.04,0.01,1.4849999999999999,68.15,17.9,0.0,23.5,0.16,0.0,15.2,82.8,3,176,6,30,1.17,2,0.08,17,20,7,26,30,93,66.7,0.0,1211,2996,14,1,1446,2,0,10,107,63.6
Joe Aribo,1,6.4323554,2.9510958,35,0.14,0.0,0.13,0.07,1.4849999999999999,68.15,17.9,0.0,41.2,0.33,0.18,14.0,88.5,16,50,4,37,1.75,1,0.05,30,34,17,9,20,294,39.1,47.8,708,1923,28,12,879,64,1,10,110,54.3
Joe Gomez,0,9.549354,6.157899,5,0.0,0.0,0.06,0.02,1.4849999999999999,68.15,17.9,0.0,66.7,0.35,0.0,11.9,88.7,2,29,0,5,0.87,1,0.17,10,16,5,6,7,37,45.0,43.8,303,947,2,1,335,2,0,2,34,69.2
Joe Lumley,0,10.024819,7.972838,0,0.0,0.0,0.0,0.0,2.33,65.0,0.0,0.0,30.0,0.0,0.06,16.4,70.2,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,45.0,43.8,103,296,0,0,108,0,0,0,2,66.7
Joe Willock,2,5.895372,4.993554,36,0.0,0.18,0.14,0.17,1.4849999999999999,68.15,17.9,0.0,17.6,0.26,0.0,15.4,82.4,21,25,8,44,3.86,4,0.35,16,29,11,6,6,227,35.3,47.1,302,984,27,14,347,82,3,16,40,26.3
Joelinton,1,5.593776,2.9218407,40,0.15,0.11,0.15,0.09,1.4849999999999999,68.15,17.9,0.0,28.9,0.49,0.09,14.0,82.7,23,80,17,61,2.29,9,0.34,35,44,19,7,23,448,32.6,60.9,729,1786,26,9,934,110,7,16,149,56.2
John McGinn,1,5.6093326,3.7037332,31,0.04,0.18,0.13,0.15,1.4849999999999999,68.15,17.9,0.0,19.2,0.22,0.04,16.2,82.5,29,66,27,68,2.98,7,0.31,22,27,16,2,14,319,40.9,27.3,547,1194,16,6,700,72,3,54,94,59.3
John Stones,3,8.288925,3.9744008,10,0.33,0.0,0.07,0.01,1.4849999999999999,68.15,17.9,0.0,100.0,0.33,1.0,5.1,91.1,2,42,0,8,1.31,2,0.33,2,5,0,3,4,68,100.0,0.0,292,1183,14,0,333,2,0,0,22,57.1
Jonny Evans,0,10.482533,6.234623,1,0.0,0.0,0.03,0.0,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,8.4,88.8,0,9,1,2,0.62,0,0.0,5,4,2,1,4,11,100.0,0.0,128,183,0,0,137,2,0,0,15,72.7
Jordan Ayew,2,5.344205,5.082582,42,0.32,0.0,0.19,0.06,1.4849999999999999,68.15,17.9,0.0,28.6,0.51,0.14,18.8,72.9,14,22,12,35,2.21,2,0.13,13,19,13,0,12,282,39.0,50.8,425,1281,31,9,474,77,6,57,87,37.9
Jordan Pickford,0,10.80642,7.934265,0,0.0,0.03,0.0,0.01,1.23,71.1,28.6,100.0,30.0,0.0,0.06,16.4,66.5,2,68,8,12,0.34,2,0.06,0,2,1,0,1,0,45.0,43.8,895,3246,0,0,788,0,0,0,31,80.0
Jorge Cuenca,0,10.520549,6.453745,0,0.0,0.0,0.01,0.0,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,13.1,83.6,0,7,0,1,0.35,0,0.0,2,5,3,3,2,6,100.0,0.0,65,116,1,0,92,0,0,1,9,66.7
Jorginho,0,8.303373,6.8194103,12,0.0,0.0,0.01,0.05,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,23.2,86.7,3,44,10,12,1.55,0,0.0,4,20,12,0,7,130,25.0,50.0,302,874,13,0,388,6,0,1,54,14.3
Joshua Acheampong,0,8.996546,6.4238715,0,0.0,0.0,0.12,0.0,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,8.9,83.9,0,6,0,2,1.06,0,0.0,1,2,0,0,1,8,50.0,0.0,106,409,2,0,111,0,0,0,7,14.3
Joshua Zirkzee,2,5.563786,6.6430593,14,0.19,0.06,0.31,0.1,1.4849999999999999,68.15,17.9,0.0,39.3,0.71,0.11,13.1,71.2,12,26,6,31,1.99,3,0.19,8,10,5,4,6,219,31.4,68.6,327,523,21,4,418,69,3,4,57,28.0
José Sá,0,10.561409,7.827061,0,0.0,0.0,0.0,0.01,1.67,62.0,25.9,33.3,30.0,0.0,0.06,16.4,63.8,2,18,1,4,0.15,0,0.0,2,2,0,0,0,0,100.0,0.0,565,2205,0,0,450,0,0,0,31,90.0
Jota Silva,2,5.0471077,6.1607876,20,0.32,0.11,0.22,0.31,1.4849999999999999,68.15,17.9,0.0,31.8,0.75,0.14,14.5,60.5,14,4,9,29,3.09,3,0.32,13,25,20,1,12,178,30.3,42.4,172,610,12,8,198,58,8,21,42,43.8
